iter	RMSE
0	16.53718336
1	16.48192408
2	16.43212743
3	16.39105307
4	16.35339376
5	16.32044299
6	16.29398623
7	16.26837504
8	16.24587273
9	16.22314235
10	16.20499188
11	16.1861848
12	16.1700804
13	16.15040225
14	16.13532987
15	16.11869255
16	16.10512104
17	16.08765208
18	16.07113318
19	16.05930286
20	16.046041
21	16.03586035
22	16.02802272
23	16.0157761
24	16.00878565
25	15.99578309
26	15.98638576
27	15.97771659
28	15.96881169
29	15.96011385
30	15.95276632
31	15.94530101
32	15.93727784
33	15.92868558
34	15.92280698
35	15.91570593
36	15.91066351
37	15.90377676
38	15.89392759
39	15.88904687
40	15.88331734
41	15.87447916
42	15.87022574
43	15.86478711
44	15.85754008
45	15.85397509
46	15.8486778
47	15.84446921
48	15.83848408
49	15.83186439
50	15.82110497
51	15.81712721
52	15.81316947
53	15.80691439
54	15.80297877
55	15.79897114
56	15.79455932
57	15.79054337
58	15.78637493
59	15.78339034
60	15.77629218
61	15.77003761
62	15.7651458
63	15.76227704
64	15.75812823
65	15.75340773
66	15.75090481
67	15.74761326
68	15.7446307
69	15.7414847
70	15.73709842
71	15.73335303
72	15.73035755
73	15.72749144
74	15.72333222
75	15.7191933
76	15.71324187
77	15.71141097
78	15.70908044
79	15.70529526
80	15.70200652
81	15.69885392
82	15.69597007
83	15.69383428
84	15.69014538
85	15.68211795
86	15.67848573
87	15.67496182
88	15.6674241
89	15.66394315
90	15.65769146
91	15.65491042
92	15.64833262
93	15.64510327
94	15.64194148
95	15.63855914
96	15.63620767
97	15.63247202
98	15.62814954
99	15.62492713
