iter	Passed	Remaining
0	32	3188
1	69	3390
2	105	3422
3	138	3319
4	167	3191
5	202	3179
6	234	3113
7	270	3114
8	301	3048
9	341	3073
10	374	3032
11	408	2997
12	443	2966
13	482	2962
14	518	2937
15	562	2955
16	601	2938
17	637	2905
18	668	2849
19	700	2801
20	735	2768
21	773	2743
22	816	2732
23	854	2706
24	887	2661
25	919	2618
26	957	2588
27	986	2537
28	1023	2506
29	1058	2470
30	1097	2443
31	1128	2398
32	1160	2356
33	1190	2311
34	1224	2273
35	1256	2233
36	1295	2205
37	1330	2170
38	1367	2139
39	1408	2112
40	1444	2078
41	1476	2038
42	1510	2002
43	1543	1964
44	1575	1925
45	1611	1892
46	1641	1850
47	1676	1815
48	1711	1780
49	1746	1746
50	1778	1708
51	1811	1672
52	1841	1633
53	1877	1598
54	1908	1561
55	1944	1528
56	1975	1490
57	2007	1453
58	2043	1419
59	2081	1387
60	2116	1353
61	2154	1320
62	2187	1284
63	2220	1249
64	2250	1211
65	2284	1176
66	2323	1144
67	2361	1111
68	2388	1073
69	2428	1040
70	2459	1004
71	2491	968
72	2527	934
73	2556	898
74	2590	863
75	2625	829
76	2659	794
77	2693	759
78	2732	726
79	2767	691
80	2800	656
81	2835	622
82	2871	588
83	2907	553
84	2944	519
85	2986	486
86	3026	452
87	3062	417
88	3090	382
89	3132	348
90	3171	313
91	3206	278
92	3240	243
93	3276	209
94	3312	174
95	3351	139
96	3389	104
97	3419	69
98	3451	34
99	3487	0
